"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","28.8876889849","32.3549091073","35.8221292297","39.2893493521","42.7565694744","46.2237895968","49.6910097192","53.1582298416","56.625449964","60.0926700864","63.5598902088","67.0271103312","70.4943304536","69.0636658158","67.6330011781","66.2023365403","64.769096724","63.3377882916","61.9064798592","60.4751714268","59.0438629945","57.6125545621","56.1812461297","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","54.7570194384","","","",
"Africa Western and Central","AFW","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2732095491","1.3059375638","1.3386655785","1.3713935931","1.4041216078","1.4368496225","1.4695776372","1.5023056519","1.5350336666","1.5677616813","1.600489696","1.6332177107","1.6659457254","1.6986737401","1.7333156499","1.7679575597","1.8025994695","1.8372413793","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","1.8718832891","","","",
"Albania","ALB","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2115384615","7.1621394231","7.1127403846","7.0633413462","7.0139423077","6.9645432692","7.7805288462","8.5965144231","9.4125","10.2284855769","11.0444711538","10.5195913462","9.9947115385","9.4698317308","8.9449519231","8.4200721154","7.6467548077","7.4984375","7.3501201923","7.2018028846","7.0534855769","6.9051682692","6.7568509615","6.6085336538","6.4602163462","5.5288461538","6.5625","6.5564903846","5.7572115385","6.796875","4.7235576923","4.7836538462","","","",
"Andorra","AND","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","600","653.6888888889","707.3777777778","761.0666666667","814.7555555556","868.4444444444","922.1333333333","975.8222222222","1029.5111111111","1083.2","1028.2222222222","1052.3111111111","1076.4","1100.4888888889","1124.5777777778","1148.6666666667","1254.8133333333","1360.96","1467.1066666667","1573.2533333333","1555.8666666667","1527.9288888889","1499.9911111111","1472.0533333333","1669.36","1866.6666666667","1849.6363636364","1832.6060606061","1815.5757575758","1798.5454545455","1781.5151515152","1764.4848484849","1747.4545454546","1730.4242424242","1713.3939393939","1696.3636363636","1679.3333333333","1630","1667.3333333333","1628.6666666667","1587.3333333333","1533.3333333333","","","",
"Argentina","ARG","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","7.657307735","7.671607509","7.6859072829","7.7002070569","7.7145068308","7.7288066048","7.7431063788","7.7574061527","7.7717059267","7.7860057006","7.8003054746","7.8146052486","7.8289050225","7.8432047965","7.8574534633","7.8718043444","7.8861041184","7.9004038923","7.9147036663","7.9290034402","8.0281836089","8.1273637776","8.2265439463","8.325724115","8.4249042837","8.6095668425","8.7942294014","8.9788919603","9.1635545192","9.3482170781","9.532879637","9.7175421959","9.9022047548","10.0868673137","10.2715298726","10.4566640772","10.4566640772","10.4566640772","10.4566640772","10.4566640772","10.4566640772","10.4566640772","10.4566640772","10.4566640772","10.4566640772","10.4566640772","","","",
